condition_id,replicate_id,nickname,source_output_path,n_scores,mean_total,sd_total,mean_position,mean_scientific_fidelity,mean_article_structure,mean_reader_orientation,mean_cohesion_coherence,mean_evidence_uncertainty,mean_style_readability,mean_constraint_following
C1,R1,Amber,comparing/authoring_results/run-2026-05-01-D002/C1_R1.md,5,94.0,3.536,3.0,19.0,14.0,14.4,18.8,14.2,9.0,4.6
C1,R2,Zephyr,comparing/authoring_results/run-2026-05-01-D002/C1_R2.md,5,92.0,2.55,3.0,18.8,13.2,14.0,18.4,14.6,8.8,4.2
C1,R3,Summit,comparing/authoring_results/run-2026-05-01-D002/C1_R3.md,5,96.2,1.924,3.0,19.4,14.0,14.4,19.4,15.0,9.4,4.6
C2,R1,Ridge,comparing/authoring_results/run-2026-05-01-D002/C2_R1.md,5,94.4,3.362,3.0,19.2,14.2,14.4,18.4,14.4,9.2,4.6
C2,R2,Vale,comparing/authoring_results/run-2026-05-01-D002/C2_R2.md,5,94.0,3.082,3.0,19.0,14.4,14.4,18.2,14.6,9.0,4.4
C2,R3,Lantern,comparing/authoring_results/run-2026-05-01-D002/C2_R3.md,5,94.6,3.715,3.0,19.2,13.6,14.2,18.6,15.0,9.2,4.8
C3,R1,Fjord,comparing/authoring_results/run-2026-05-01-D002/C3_R1.md,5,96.2,1.789,3.0,19.4,14.2,14.4,19.2,15.0,9.4,4.6
C3,R2,Dawn,comparing/authoring_results/run-2026-05-01-D002/C3_R2.md,5,93.4,4.037,3.0,18.8,14.0,14.2,18.8,14.2,9.0,4.4
C3,R3,Meadow,comparing/authoring_results/run-2026-05-01-D002/C3_R3.md,5,94.2,3.564,3.0,19.4,14.0,14.4,18.6,14.6,8.8,4.4
C4,R1,Tundra,comparing/authoring_results/run-2026-05-01-D002/C4_R1.md,5,94.0,2.828,3.0,19.2,14.0,14.4,18.4,14.4,9.0,4.6
C4,R2,Granite,comparing/authoring_results/run-2026-05-01-D002/C4_R2.md,5,93.6,4.45,3.0,19.0,14.0,14.2,18.4,14.6,9.0,4.4
C4,R3,Quartz,comparing/authoring_results/run-2026-05-01-D002/C4_R3.md,5,96.2,2.775,3.0,19.4,14.6,14.4,19.0,15.0,9.0,4.8
C5,R1,Juniper,comparing/authoring_results/run-2026-05-01-D002/C5_R1.md,5,94.4,3.435,3.0,19.4,13.8,14.4,18.6,15.0,8.6,4.6
C5,R2,Ember,comparing/authoring_results/run-2026-05-01-D002/C5_R2.md,5,91.8,3.347,3.0,18.6,13.4,14.0,17.8,14.4,8.8,4.8
C5,R3,Ivory,comparing/authoring_results/run-2026-05-01-D002/C5_R3.md,5,94.6,3.362,3.0,19.4,14.0,14.4,18.4,14.6,9.0,4.8
